Resultattype;Sted;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;D.  Nye Borgerlige;E. Klaus Riskær Pedersen;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;K. Kristendemokraterne;O. Dansk Folkeparti;P. Stram Kurs;V. Venstre, Danmarks Liberale Parti;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Uden for partierne;Gyldige stemmer;Ugyldige stemmer;Stemmer i alt;Stemmeberettigede;
Hele landet;Hele landet;914882;304714;233865;83201;29600;272304;82270;60944;308513;63114;826161;245100;104278;2774;3531720;37801;3569521;4219537;
Landsdel;Hovedstaden;228118;141038;85647;23428;9837;102361;29400;10460;68960;16388;195300;116600;47610;1774;1076921;10459;1087380;1275532;
Landsdel;Sjælland-Syddanmark;355035;78698;71754;37070;11095;89422;24466;17120;138701;27842;323472;66227;26982;451;1268335;15154;1283489;1531340;
Landsdel;Midtjylland-Nordjylland;331729;84978;76464;22703;8668;80521;28404;33364;100852;18884;307389;62273;29686;549;1186464;12188;1198652;1412665;
Storkreds;Københavns Storkreds;77879;74135;23829;6417;4382;52176;11655;3268;19181;5717;67819;75935;29405;607;452405;4351;456756;538346;
Storkreds;Københavns Omegns Storkreds;79845;33638;28994;7144;2481;29101;7916;2930;25419;5914;53355;22400;9535;885;309557;3316;312873;370371;
Storkreds;Nordsjællands Storkreds;61801;32419;32368;9439;2753;19993;9581;3229;21734;4276;67742;16213;7846;282;289676;2528;292204;335601;
Storkreds;Bornholms Storkreds;8593;846;456;428;221;1091;248;1033;2626;481;6384;2052;824;0;25283;264;25547;31214;
Storkreds;Sjællands Storkreds;147057;30354;30449;13319;5329;45992;9289;4171;56697;14054;126419;27272;10305;162;520869;5674;526543;628910;
Storkreds;Fyns Storkreds;94337;22793;19256;5926;2551;20961;5867;3453;27746;5919;73046;21182;9505;0;312542;4099;316641;374322;
Storkreds;Sydjyllands Storkreds;113641;25551;22049;17825;3215;22469;9310;9496;54258;7869;124007;17773;7172;289;434924;5381;440305;528108;
Storkreds;Østjyllands Storkreds;128108;49157;28431;9797;3674;40665;14157;10617;38889;7484;112358;35261;16915;549;496062;5169;501231;584347;
Storkreds;Vestjyllands Storkreds;79550;17216;29934;5464;1930;20151;7206;17016;27229;5057;96659;11091;5503;0;324006;3322;327328;383367;
Storkreds;Nordjyllands Storkreds;124071;18605;18099;7442;3064;19705;7041;5731;34734;6343;98372;15921;7268;0;366396;3697;370093;444951;
Opstillingskreds;1. Østerbro;7660;8756;3029;636;391;5377;1467;392;1432;517;8483;6808;2956;46;47950;414;48364;55647;
Opstillingskreds;2. Sundbyvester;7215;6925;1831;571;429;4927;1326;261;1758;543;6295;6390;2687;65;41223;423;41646;49932;
Opstillingskreds;3. Indre By;4243;6629;2361;422;389;3763;1152;181;654;292;6158;6078;2505;45;34872;297;35169;41671;
